mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected Funisciurus_lemniscatus_voucher_FMNH_222638_DRC_Bas_congo__ as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 248.319823
1000 Log-L: 338.385669
2000 Log-L: 338.820226
3000 Log-L: 332.293415
4000 Log-L: 338.820226
5000 Log-L: 334.007839
6000 Log-L: 335.695421
7000 Log-L: 332.293415
8000 Log-L: 341.273441
9000 Log-L: 336.579458
10000 Log-L: 338.090127
11000 Log-L: 341.273441
12000 Log-L: 335.827195
13000 Log-L: 340.994564
14000 Log-L: 341.539263
15000 Log-L: 341.657737
16000 Log-L: 336.579458
17000 Log-L: 340.165476
18000 Log-L: 340.994564
19000 Log-L: 341.072816
20000 Log-L: 340.165476
21000 Log-L: 343.934052
22000 Log-L: 336.579458
23000 Log-L: 334.916530
24000 Log-L: 340.994564
25000 Log-L: 341.822901
26000 Log-L: 340.165476
27000 Log-L: 338.573570
28000 Log-L: 334.916530
29000 Log-L: 343.934052
30000 Log-L: 334.007839
31000 Log-L: 334.007839
32000 Log-L: 338.860070
33000 Log-L: 338.385669
34000 Log-L: 334.007839
35000 Log-L: 338.815028
36000 Log-L: 340.858000
37000 Log-L: 341.822901
38000 Log-L: 338.860070
39000 Log-L: 339.965637
40000 Log-L: 343.934052
41000 Log-L: 343.883283
42000 Log-L: 341.539263
43000 Log-L: 341.072816
44000 Log-L: 341.556102
45000 Log-L: 341.539263
46000 Log-L: 341.539263
47000 Log-L: 340.165476
48000 Log-L: 338.837070
49000 Log-L: 338.385669
50000 Log-L: 337.194178
51000 Log-L: 332.293415
52000 Log-L: 344.046897
53000 Log-L: 340.165476
54000 Log-L: 334.916530
55000 Log-L: 341.713181
56000 Log-L: 338.837070
57000 Log-L: 341.194768
58000 Log-L: 343.934052
59000 Log-L: 341.579023
60000 Log-L: 339.965637
61000 Log-L: 336.579458
62000 Log-L: 340.933749
63000 Log-L: 340.858000
64000 Log-L: 342.031802
65000 Log-L: 338.469472
66000 Log-L: 340.994564
67000 Log-L: 338.469472
68000 Log-L: 338.573570
69000 Log-L: 340.109534
70000 Log-L: 343.934052
71000 Log-L: 334.916530
72000 Log-L: 340.165476
73000 Log-L: 343.883283
74000 Log-L: 341.822901
75000 Log-L: 339.965637
76000 Log-L: 343.934052
77000 Log-L: 341.579023
78000 Log-L: 340.994564
79000 Log-L: 343.883283
80000 Log-L: 339.965637
81000 Log-L: 340.994564
82000 Log-L: 334.916530
83000 Log-L: 340.933749
84000 Log-L: 344.046897
85000 Log-L: 336.579458
86000 Log-L: 338.573570
87000 Log-L: 340.933749
88000 Log-L: 332.829958
89000 Log-L: 334.007839
90000 Log-L: 338.090127
91000 Log-L: 343.934052
92000 Log-L: 341.556102
93000 Log-L: 344.046897
94000 Log-L: 338.573570
95000 Log-L: 342.031802
96000 Log-L: 336.579458
97000 Log-L: 343.934052
98000 Log-L: 342.031802
99000 Log-L: 342.031802
100000 Log-L: 339.965637
101000 Log-L: 334.858830
102000 Log-L: 333.674144
103000 Log-L: 344.013414
104000 Log-L: 343.934052
105000 Log-L: 340.994564
106000 Log-L: 342.031802
107000 Log-L: 338.469472
108000 Log-L: 337.776087
109000 Log-L: 340.165476
110000 Log-L: 334.007839
111000 Log-L: 335.827195
112000 Log-L: 334.007839
113000 Log-L: 332.293415
114000 Log-L: 338.385669
115000 Log-L: 340.933749
116000 Log-L: 336.579458
117000 Log-L: 340.994564
118000 Log-L: 334.916530
119000 Log-L: 340.994564
120000 Log-L: 340.994564
121000 Log-L: 340.994564
122000 Log-L: 339.965637
123000 Log-L: 338.385669
124000 Log-L: 334.007839
125000 Log-L: 338.385669
126000 Log-L: 338.860070
127000 Log-L: 335.827195
128000 Log-L: 338.867217
129000 Log-L: 334.007839
130000 Log-L: 341.273441
131000 Log-L: 340.165476
132000 Log-L: 341.194768
133000 Log-L: 341.273441
134000 Log-L: 335.827195
135000 Log-L: 334.007839
136000 Log-L: 332.293415
137000 Log-L: 335.827195
138000 Log-L: 334.007839
139000 Log-L: 338.291522
140000 Log-L: 335.827195
141000 Log-L: 341.273441
142000 Log-L: 335.827195
143000 Log-L: 338.385669
144000 Log-L: 338.469472
145000 Log-L: 341.556102
146000 Log-L: 341.546743
147000 Log-L: 341.579023
148000 Log-L: 340.858000
149000 Log-L: 341.072816
150000 Log-L: 334.916530
151000 Log-L: 336.579458
152000 Log-L: 342.031802
153000 Log-L: 338.385669
154000 Log-L: 332.293415
155000 Log-L: 341.273441
156000 Log-L: 341.579023
157000 Log-L: 344.046897
158000 Log-L: 340.858000
159000 Log-L: 343.934052
160000 Log-L: 336.579458
161000 Log-L: 340.994564
162000 Log-L: 341.539263
163000 Log-L: 336.579458
164000 Log-L: 341.579023
165000 Log-L: 338.469472
166000 Log-L: 339.965637
167000 Log-L: 339.965637
168000 Log-L: 341.822901
169000 Log-L: 341.579023
170000 Log-L: 344.046897
171000 Log-L: 340.994564
172000 Log-L: 338.469472
173000 Log-L: 334.916530
174000 Log-L: 339.935640
175000 Log-L: 343.934052
176000 Log-L: 336.579458
177000 Log-L: 341.273441
178000 Log-L: 335.827195
179000 Log-L: 343.883283
180000 Log-L: 343.883283
181000 Log-L: 340.994564
182000 Log-L: 335.827195
183000 Log-L: 338.837070
184000 Log-L: 337.194178
