Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	8	5.00	5.824176e-02	3	0.000241	7	0.104712
2	20	6.00	5.568862e-01	11	0.004312	1	0.026643
3	11	7.00	2.774451e-01	8	0.000273	6	0.092883
4	19	7.50	8.892144e-04	1	0.000044	14	0.041833
5	7	8.00	9.479554e-02	5	0.000087	11	0.120355
6	15	9.50	7.454290e-02	4	0.000044	15	0.076461
7	9	11.50	8.123752e-01	19	0.000278	4	0.098847
8	24	12.00	2.634731e-01	7	0.000019	17	0.010617
9	22	12.00	7.504990e-01	15	0.000114	9	0.015836
10	19	12.50	1.943672e-03	2	0.000006	23	0.049405
11	21	14.00	8.702595e-01	25	0.000280	3	0.018528
12	10	14.00	8.782435e-01	26	0.000316	2	0.095661
13	14	14.50	6.706587e-01	13	0.000043	16	0.085729
14	5	14.50	8.223553e-01	21	0.000141	8	0.150640
15	4	15.00	7.744511e-01	17	0.000045	13	0.164104
16	27	16.00	5.029940e-01	10	0.000006	22	0.007916
17	6	16.00	8.323353e-01	22	0.000101	10	0.135980
18	17	17.00	7.604790e-01	16	0.000011	18	0.060699
19	12	17.50	9.421158e-01	30	0.000273	5	0.089865
20	70	20.00	1.996008e-01	6	0.000001	34	0.001308
21	60	20.00	6.586826e-01	12	0.000003	28	0.002626
22	36	20.50	4.890220e-01	9	0.000003	32	0.005261
23	3	21.50	8.662675e-01	24	0.000008	19	0.177635
24	13	22.00	9.660679e-01	32	0.000048	12	0.086822
25	38	23.50	6.746507e-01	14	0.000002	33	0.003963
26	30	23.50	7.784431e-01	18	0.000003	29	0.006620
27	2	23.50	8.383234e-01	23	0.000005	24	0.209169
28	26	24.50	9.281437e-01	28	0.000006	21	0.008000
29	32	25.50	8.143713e-01	20	0.000003	31	0.005331
30	25	25.50	9.620758e-01	31	0.000006	20	0.008054
31	41	27.00	8.862275e-01	27	0.000003	27	0.002657
32	39	27.50	9.301397e-01	29	0.000003	26	0.002682
33	18	29.00	1.000000e+00	33	0.000004	25	0.052003
34	33	32.00	1.000000e+00	34	0.000003	30	0.005289
35	231	35.00	1.000000e+00	35	0.000001	35	0.000000
