mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected YK171 as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 90.361038
1000 Log-L: 94.341764
2000 Log-L: 96.969541
3000 Log-L: 94.341764
4000 Log-L: 96.969541
5000 Log-L: 94.341764
6000 Log-L: 95.946603
7000 Log-L: 95.946603
8000 Log-L: 96.969541
9000 Log-L: 94.341764
10000 Log-L: 95.946603
11000 Log-L: 94.341764
12000 Log-L: 94.341764
13000 Log-L: 94.341764
14000 Log-L: 96.969541
15000 Log-L: 96.969541
16000 Log-L: 96.658639
17000 Log-L: 96.969541
18000 Log-L: 94.341764
19000 Log-L: 95.946603
20000 Log-L: 94.341764
21000 Log-L: 94.341764
22000 Log-L: 94.341764
23000 Log-L: 94.341764
24000 Log-L: 90.361038
25000 Log-L: 90.361038
26000 Log-L: 94.341764
27000 Log-L: 94.341764
28000 Log-L: 96.969541
29000 Log-L: 95.946603
30000 Log-L: 95.946603
31000 Log-L: 96.969541
32000 Log-L: 94.341764
33000 Log-L: 94.341764
34000 Log-L: 94.341764
35000 Log-L: 94.341764
36000 Log-L: 96.658639
37000 Log-L: 94.341764
38000 Log-L: 94.341764
39000 Log-L: 94.341764
40000 Log-L: 94.341764
41000 Log-L: 96.969541
42000 Log-L: 95.946603
43000 Log-L: 96.969541
44000 Log-L: 96.969541
45000 Log-L: 94.341764
46000 Log-L: 94.341764
47000 Log-L: 95.946603
48000 Log-L: 95.946603
49000 Log-L: 94.341764
50000 Log-L: 94.341764
51000 Log-L: 96.969541
52000 Log-L: 95.946603
53000 Log-L: 94.341764
54000 Log-L: 96.969541
55000 Log-L: 95.946603
56000 Log-L: 94.341764
57000 Log-L: 94.341764
58000 Log-L: 94.341764
59000 Log-L: 94.341764
60000 Log-L: 95.946603
61000 Log-L: 94.341764
62000 Log-L: 96.969541
63000 Log-L: 94.341764
64000 Log-L: 95.946603
65000 Log-L: 95.946603
66000 Log-L: 95.946603
67000 Log-L: 94.341764
68000 Log-L: 96.969541
69000 Log-L: 96.658639
70000 Log-L: 96.969541
71000 Log-L: 95.946603
72000 Log-L: 94.341764
73000 Log-L: 96.969541
74000 Log-L: 96.969541
75000 Log-L: 96.969541
76000 Log-L: 96.969541
77000 Log-L: 95.946603
78000 Log-L: 96.969541
79000 Log-L: 96.969541
80000 Log-L: 94.341764
81000 Log-L: 94.341764
82000 Log-L: 96.969541
83000 Log-L: 94.341764
84000 Log-L: 94.341764
85000 Log-L: 94.341764
86000 Log-L: 96.969541
87000 Log-L: 95.946603
88000 Log-L: 94.341764
89000 Log-L: 95.946603
90000 Log-L: 94.341764
91000 Log-L: 95.946603
92000 Log-L: 94.341764
93000 Log-L: 94.341764
94000 Log-L: 94.341764
95000 Log-L: 94.341764
96000 Log-L: 96.969541
97000 Log-L: 94.341764
98000 Log-L: 95.946603
99000 Log-L: 94.341764
100000 Log-L: 95.946603
101000 Log-L: 96.969541
102000 Log-L: 96.969541
103000 Log-L: 95.946603
104000 Log-L: 95.946603
105000 Log-L: 94.341764
106000 Log-L: 96.969541
107000 Log-L: 95.946603
108000 Log-L: 95.946603
109000 Log-L: 94.341764
110000 Log-L: 94.341764
111000 Log-L: 95.946603
112000 Log-L: 94.341764
113000 Log-L: 95.946603
114000 Log-L: 96.969541
115000 Log-L: 94.341764
116000 Log-L: 94.341764
117000 Log-L: 94.341764
118000 Log-L: 94.341764
119000 Log-L: 96.969541
120000 Log-L: 94.341764
121000 Log-L: 96.969541
122000 Log-L: 94.341764
123000 Log-L: 94.341764
124000 Log-L: 95.946603
125000 Log-L: 95.946603
126000 Log-L: 94.341764
127000 Log-L: 94.341764
128000 Log-L: 95.946603
129000 Log-L: 94.341764
130000 Log-L: 96.969541
131000 Log-L: 95.634151
132000 Log-L: 96.969541
133000 Log-L: 95.946603
134000 Log-L: 96.969541
135000 Log-L: 95.946603
136000 Log-L: 96.969541
137000 Log-L: 96.969541
138000 Log-L: 96.969541
139000 Log-L: 94.341764
140000 Log-L: 94.341764
141000 Log-L: 95.946603
142000 Log-L: 95.946603
143000 Log-L: 96.969541
144000 Log-L: 96.969541
145000 Log-L: 94.341764
146000 Log-L: 94.341764
147000 Log-L: 95.946603
148000 Log-L: 96.969541
149000 Log-L: 95.946603
150000 Log-L: 95.946603
151000 Log-L: 94.341764
152000 Log-L: 94.341764
153000 Log-L: 95.946603
154000 Log-L: 94.341764
155000 Log-L: 94.341764
156000 Log-L: 96.969541
157000 Log-L: 94.341764
158000 Log-L: 95.946603
159000 Log-L: 94.341764
160000 Log-L: 94.341764
161000 Log-L: 94.341764
162000 Log-L: 96.969541
163000 Log-L: 94.341764
164000 Log-L: 95.946603
165000 Log-L: 96.969541
166000 Log-L: 96.969541
167000 Log-L: 96.969541
168000 Log-L: 96.969541
169000 Log-L: 96.969541
170000 Log-L: 96.969541
171000 Log-L: 94.341764
172000 Log-L: 96.969541
173000 Log-L: 94.341764
174000 Log-L: 94.341764
175000 Log-L: 94.341764
176000 Log-L: 95.946603
177000 Log-L: 95.946603
178000 Log-L: 95.946603
179000 Log-L: 96.969541
180000 Log-L: 94.341764
181000 Log-L: 94.341764
182000 Log-L: 95.946603
183000 Log-L: 96.969541
184000 Log-L: 94.341764
185000 Log-L: 94.341764
186000 Log-L: 94.341764
187000 Log-L: 96.658639
