SeqName;SpeciesNum
YK171;1
EBO87;2
YK125;2
YKX41;3
YKX40__;3
YSK27;3
Y54;3
BY6;3
YK37;3
Y114__;3
YK129____;3
YK23;3
YK33____;3
EBO50;3
EBO314;3
EBO245;3
EBO472;3
EBO287;3
YK65;3
TLL59__;3
TLL58;3
Y119____;3
YK234__;3
Y50____;3
CRT644;3
YK111__;3
YSK37;3
YK100;3
TLL154__;3
YK50__;3
YK101;3
Y122__;3
LIK926;4
EPL29;4
UAC922__;4
UAC933;4
AKT107____;4
CRT282__;4
UAC930__;4
BDA313;4
BDA80__;4
EPL18____;4
BDA112;4
BDA152__;4
AKT106;4
AKT236____;4
CRT57;4
EPL14____;4
UAC5122____;4
UMA387;4
UMA385___;4
UMA25;4
UMA18;4
Kik1454;5
Kik675;5
Kik1199____;5
UMA440;6
UMA40;6
UMA30;6
UMA511;6
NDU803;6
UMA439;6
EPL20;6
YK109_____;7
YK192_____;7
YK196__;7
YK208__;7
YK152;7
YK213;7
Y21;7
YK215__;7
YK195;7
BY5_____;7
YK247__;7
Y74;7
YK228;7
YK229__;7
YK148;7
YK120__;9
YK127__;9
YK225__;9
YK110_____;9
YK231__;9
Y9__;9
MF577066;8
