mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected YK171 as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 186.983247
1000 Log-L: 251.403826
2000 Log-L: 258.250437
3000 Log-L: 251.403826
4000 Log-L: 258.075984
5000 Log-L: 251.403826
6000 Log-L: 253.745497
7000 Log-L: 251.403826
8000 Log-L: 251.403826
9000 Log-L: 253.745497
10000 Log-L: 258.253903
11000 Log-L: 251.403826
12000 Log-L: 253.745497
13000 Log-L: 253.745497
14000 Log-L: 259.301980
15000 Log-L: 259.301980
16000 Log-L: 253.745497
17000 Log-L: 253.745497
18000 Log-L: 251.403826
19000 Log-L: 251.403826
20000 Log-L: 253.745497
21000 Log-L: 258.318665
22000 Log-L: 253.745497
23000 Log-L: 251.403826
24000 Log-L: 251.403826
25000 Log-L: 259.301980
26000 Log-L: 251.403826
27000 Log-L: 253.745497
28000 Log-L: 251.403826
29000 Log-L: 258.318665
30000 Log-L: 251.403826
31000 Log-L: 253.745497
32000 Log-L: 258.253903
33000 Log-L: 253.745497
34000 Log-L: 251.403826
35000 Log-L: 258.318665
36000 Log-L: 258.253903
37000 Log-L: 258.287276
38000 Log-L: 258.287584
39000 Log-L: 258.287276
40000 Log-L: 251.403826
41000 Log-L: 258.287584
42000 Log-L: 259.301980
43000 Log-L: 256.911804
44000 Log-L: 258.253903
45000 Log-L: 258.318665
46000 Log-L: 258.318665
47000 Log-L: 251.403826
48000 Log-L: 258.075984
49000 Log-L: 251.403826
50000 Log-L: 258.318665
51000 Log-L: 253.745497
52000 Log-L: 258.287584
53000 Log-L: 253.745497
54000 Log-L: 251.403826
55000 Log-L: 258.253903
56000 Log-L: 258.287584
57000 Log-L: 258.253903
58000 Log-L: 253.745497
59000 Log-L: 258.287276
60000 Log-L: 258.250437
61000 Log-L: 253.745497
62000 Log-L: 251.403826
63000 Log-L: 258.253903
64000 Log-L: 258.318665
65000 Log-L: 253.745497
66000 Log-L: 251.403826
67000 Log-L: 251.403826
68000 Log-L: 251.403826
69000 Log-L: 253.745497
70000 Log-L: 258.318665
71000 Log-L: 253.745497
72000 Log-L: 251.403826
73000 Log-L: 258.287584
74000 Log-L: 258.287584
75000 Log-L: 259.301980
76000 Log-L: 258.250437
77000 Log-L: 258.318665
78000 Log-L: 251.403826
79000 Log-L: 258.075984
80000 Log-L: 258.253903
81000 Log-L: 251.403826
82000 Log-L: 251.403826
83000 Log-L: 253.745497
84000 Log-L: 258.253903
85000 Log-L: 253.745497
86000 Log-L: 251.403826
87000 Log-L: 251.403826
88000 Log-L: 251.403826
89000 Log-L: 251.403826
90000 Log-L: 258.253903
91000 Log-L: 251.403826
92000 Log-L: 258.287276
93000 Log-L: 258.318665
94000 Log-L: 253.745497
95000 Log-L: 258.253903
96000 Log-L: 253.745497
97000 Log-L: 251.403826
98000 Log-L: 258.287584
99000 Log-L: 258.253903
100000 Log-L: 258.287584
101000 Log-L: 251.403826
102000 Log-L: 251.403826
103000 Log-L: 258.075984
104000 Log-L: 260.691570
105000 Log-L: 253.745497
106000 Log-L: 258.253903
107000 Log-L: 253.745497
108000 Log-L: 258.287584
109000 Log-L: 251.403826
110000 Log-L: 253.745497
111000 Log-L: 253.745497
112000 Log-L: 251.403826
113000 Log-L: 251.403826
114000 Log-L: 251.403826
115000 Log-L: 253.745497
116000 Log-L: 251.403826
117000 Log-L: 251.403826
118000 Log-L: 253.745497
119000 Log-L: 251.403826
120000 Log-L: 251.403826
121000 Log-L: 253.745497
122000 Log-L: 258.250437
123000 Log-L: 251.403826
124000 Log-L: 253.745497
125000 Log-L: 251.403826
126000 Log-L: 258.253903
127000 Log-L: 251.403826
128000 Log-L: 259.301980
129000 Log-L: 253.745497
130000 Log-L: 258.318665
131000 Log-L: 258.250437
132000 Log-L: 258.075984
133000 Log-L: 258.287584
134000 Log-L: 251.403826
135000 Log-L: 253.745497
136000 Log-L: 253.745497
137000 Log-L: 251.403826
138000 Log-L: 253.745497
139000 Log-L: 258.287276
140000 Log-L: 251.403826
141000 Log-L: 258.287276
142000 Log-L: 253.745497
143000 Log-L: 253.745497
144000 Log-L: 253.745497
145000 Log-L: 259.301980
146000 Log-L: 258.287584
147000 Log-L: 258.250437
148000 Log-L: 258.253903
149000 Log-L: 253.745497
150000 Log-L: 253.745497
151000 Log-L: 253.745497
152000 Log-L: 258.250437
153000 Log-L: 253.745497
154000 Log-L: 253.745497
155000 Log-L: 259.301980
156000 Log-L: 258.287276
157000 Log-L: 258.253903
158000 Log-L: 258.075984
159000 Log-L: 258.287584
160000 Log-L: 253.745497
161000 Log-L: 253.745497
162000 Log-L: 258.253903
163000 Log-L: 251.403826
164000 Log-L: 258.075984
165000 Log-L: 251.403826
166000 Log-L: 258.075984
167000 Log-L: 258.253903
168000 Log-L: 258.250437
169000 Log-L: 258.287584
170000 Log-L: 259.301980
171000 Log-L: 251.403826
172000 Log-L: 251.403826
173000 Log-L: 251.403826
174000 Log-L: 258.075984
175000 Log-L: 251.403826
176000 Log-L: 253.745497
177000 Log-L: 258.287584
178000 Log-L: 253.745497
179000 Log-L: 258.075984
180000 Log-L: 258.075984
181000 Log-L: 253.745497
182000 Log-L: 251.403826
183000 Log-L: 258.253903
184000 Log-L: 259.301980
185000 Log-L: 258.318665
186000 Log-L: 251.403826
187000 Log-L: 258.318665
