Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	9	2.00	5.340314e-02	2	0.000569	2	0.029027
2	7	2.50	4.163265e-02	1	0.000247	4	0.077554
3	5	2.50	2.255489e-01	4	0.001354	1	0.124892
4	6	3.00	2.235529e-01	3	0.000498	3	0.093943
5	10	7.50	6.347305e-01	7	0.000051	8	0.010997
6	4	8.50	8.502994e-01	12	0.000206	5	0.155809
7	12	9.50	2.355289e-01	5	0.000032	14	0.008221
8	8	9.50	8.622754e-01	13	0.000080	6	0.057081
9	11	11.50	9.700599e-01	16	0.000051	7	0.009582
10	21	12.00	5.568862e-01	6	0.000030	18	0.002711
11	17	12.00	8.143713e-01	11	0.000032	13	0.006716
12	20	12.00	8.802395e-01	14	0.000032	10	0.004048
13	29	12.50	6.487026e-01	8	0.000030	17	0.002682
14	55	12.50	6.846307e-01	9	0.000030	16	0.002675
15	16	13.50	9.301397e-01	15	0.000032	12	0.008075
16	14	14.50	9.800399e-01	18	0.000032	11	0.008097
17	56	15.00	7.744511e-01	10	0.000021	20	0.001336
18	85	15.00	1.000000e+00	21	0.000036	9	0.000000
19	26	17.00	9.900200e-01	19	0.000030	15	0.002689
20	2	19.00	9.780439e-01	17	0.000021	21	0.189088
21	3	19.50	9.920160e-01	20	0.000025	19	0.174300
