Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	9	2.00	5.685619e-02	2	0.000569	2	0.029027
2	5	2.00	2.135729e-01	3	0.001354	1	0.124892
3	7	2.50	3.563941e-02	1	0.000247	4	0.077554
4	6	3.50	2.135729e-01	4	0.000498	3	0.093943
5	10	8.00	6.447106e-01	8	0.000051	8	0.010997
6	8	9.00	8.602794e-01	12	0.000080	6	0.057081
7	4	9.00	8.682635e-01	13	0.000206	5	0.155809
8	12	9.50	2.554890e-01	5	0.000032	14	0.008221
9	11	11.50	9.600798e-01	16	0.000051	7	0.009582
10	21	12.00	5.209581e-01	6	0.000030	18	0.002711
11	29	12.00	6.107784e-01	7	0.000030	17	0.002682
12	17	12.00	8.203593e-01	11	0.000032	13	0.006716
13	20	12.00	8.862275e-01	14	0.000032	10	0.004048
14	55	12.50	7.145709e-01	9	0.000030	16	0.002675
15	16	13.50	9.001996e-01	15	0.000032	12	0.008075
16	14	14.00	9.640719e-01	17	0.000032	11	0.008097
17	56	15.00	7.465070e-01	10	0.000021	20	0.001336
18	85	15.00	1.000000e+00	21	0.000036	9	0.000000
19	26	17.50	9.920160e-01	20	0.000030	15	0.002689
20	3	19.00	9.900200e-01	19	0.000025	19	0.174300
21	2	19.50	9.820359e-01	18	0.000021	21	0.189088
