Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	9	1.50	4.116223e-02	1	0.001030	2	0.028990
2	5	2.50	2.654691e-01	4	0.001838	1	0.124892
3	7	3.00	6.505102e-02	2	0.000274	4	0.077306
4	6	3.00	2.495010e-01	3	0.000519	3	0.093695
5	4	6.50	7.784431e-01	8	0.000238	5	0.155809
6	11	9.00	2.874251e-01	5	0.000036	13	0.008198
7	8	9.50	8.842315e-01	12	0.000054	7	0.057211
8	15	10.50	7.824351e-01	9	0.000036	12	0.008032
9	10	10.50	9.720559e-01	15	0.000062	6	0.009559
10	21	11.50	3.832335e-01	6	0.000033	17	0.002704
11	13	12.00	9.341317e-01	13	0.000036	11	0.008075
12	12	14.00	9.820359e-01	18	0.000036	10	0.008097
13	53	14.50	6.626747e-01	7	0.000023	22	0.001332
14	16	14.50	8.383234e-01	10	0.000027	19	0.006680
15	26	15.00	9.368806e-01	14	0.000033	16	0.002682
16	79	15.00	1.000000e+00	22	0.000040	8	0.000000
17	14	15.00	1.000000e+00	21	0.000036	9	0.008054
18	28	15.50	9.800399e-01	16	0.000033	15	0.002671
19	19	16.00	8.822355e-01	11	0.000026	21	0.004027
20	24	16.50	9.860279e-01	19	0.000033	14	0.002689
21	2	18.50	9.820359e-01	17	0.000026	20	0.190266
22	3	19.00	9.920160e-01	20	0.000029	18	0.175478
