mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected YK171_Paraxerus as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 178.274151
1000 Log-L: 242.035459
2000 Log-L: 247.093717
3000 Log-L: 240.350884
4000 Log-L: 248.134391
5000 Log-L: 240.350884
6000 Log-L: 247.156341
7000 Log-L: 248.134391
8000 Log-L: 242.035459
9000 Log-L: 240.350884
10000 Log-L: 247.095609
11000 Log-L: 242.035459
12000 Log-L: 242.035459
13000 Log-L: 240.350884
14000 Log-L: 248.134391
15000 Log-L: 248.134391
16000 Log-L: 247.093717
17000 Log-L: 247.122934
18000 Log-L: 240.350884
19000 Log-L: 247.156341
20000 Log-L: 240.350884
21000 Log-L: 240.350884
22000 Log-L: 242.035459
23000 Log-L: 242.035459
24000 Log-L: 240.350884
25000 Log-L: 240.350884
26000 Log-L: 242.035459
27000 Log-L: 240.350884
28000 Log-L: 242.035459
29000 Log-L: 247.156341
30000 Log-L: 247.156341
31000 Log-L: 247.228362
32000 Log-L: 242.035459
33000 Log-L: 242.035459
34000 Log-L: 240.350884
35000 Log-L: 242.035459
36000 Log-L: 244.756298
37000 Log-L: 240.350884
38000 Log-L: 242.035459
39000 Log-L: 242.035459
40000 Log-L: 242.035459
41000 Log-L: 247.093717
42000 Log-L: 247.122934
43000 Log-L: 240.350884
44000 Log-L: 247.130845
45000 Log-L: 240.350884
46000 Log-L: 240.350884
47000 Log-L: 247.156341
48000 Log-L: 248.134391
49000 Log-L: 242.035459
50000 Log-L: 240.350884
51000 Log-L: 247.228362
52000 Log-L: 248.134391
53000 Log-L: 242.035459
54000 Log-L: 247.095609
55000 Log-L: 247.156341
56000 Log-L: 242.035459
57000 Log-L: 240.350884
58000 Log-L: 240.350884
59000 Log-L: 242.035459
60000 Log-L: 247.156341
61000 Log-L: 242.035459
62000 Log-L: 247.130845
63000 Log-L: 240.350884
64000 Log-L: 248.134391
65000 Log-L: 247.122934
66000 Log-L: 247.130845
67000 Log-L: 240.350884
68000 Log-L: 242.035459
69000 Log-L: 247.156341
70000 Log-L: 247.130845
71000 Log-L: 247.228362
72000 Log-L: 240.350884
73000 Log-L: 247.122934
74000 Log-L: 247.156341
75000 Log-L: 242.035459
76000 Log-L: 247.156341
77000 Log-L: 247.228362
78000 Log-L: 247.228362
79000 Log-L: 240.350884
80000 Log-L: 240.350884
81000 Log-L: 242.035459
82000 Log-L: 247.130845
83000 Log-L: 242.035459
84000 Log-L: 242.035459
85000 Log-L: 240.350884
86000 Log-L: 247.156341
87000 Log-L: 247.122934
88000 Log-L: 242.035459
89000 Log-L: 247.095609
90000 Log-L: 240.350884
91000 Log-L: 247.122934
92000 Log-L: 240.350884
93000 Log-L: 240.350884
94000 Log-L: 242.035459
95000 Log-L: 240.350884
96000 Log-L: 247.130845
97000 Log-L: 240.350884
98000 Log-L: 247.093717
99000 Log-L: 242.035459
100000 Log-L: 247.156341
101000 Log-L: 247.122934
102000 Log-L: 248.134391
103000 Log-L: 247.130845
104000 Log-L: 247.156341
105000 Log-L: 242.035459
106000 Log-L: 247.122934
107000 Log-L: 248.134391
108000 Log-L: 247.122934
109000 Log-L: 240.350884
110000 Log-L: 242.035459
111000 Log-L: 248.134391
112000 Log-L: 242.035459
113000 Log-L: 247.156341
114000 Log-L: 247.093717
115000 Log-L: 240.350884
116000 Log-L: 242.035459
117000 Log-L: 240.350884
118000 Log-L: 240.350884
119000 Log-L: 248.134391
120000 Log-L: 242.035459
121000 Log-L: 247.228362
122000 Log-L: 240.350884
123000 Log-L: 240.350884
124000 Log-L: 247.095609
125000 Log-L: 247.228362
126000 Log-L: 240.350884
127000 Log-L: 240.350884
128000 Log-L: 247.122934
129000 Log-L: 240.350884
130000 Log-L: 247.130845
131000 Log-L: 244.762281
132000 Log-L: 247.095609
133000 Log-L: 247.228362
134000 Log-L: 240.350884
135000 Log-L: 247.093717
136000 Log-L: 247.093717
137000 Log-L: 247.122934
138000 Log-L: 247.130845
139000 Log-L: 242.035459
140000 Log-L: 242.035459
141000 Log-L: 247.228362
142000 Log-L: 247.156341
143000 Log-L: 242.035459
144000 Log-L: 248.134391
145000 Log-L: 242.035459
146000 Log-L: 242.035459
147000 Log-L: 247.093717
148000 Log-L: 248.134391
149000 Log-L: 247.156341
150000 Log-L: 247.156341
151000 Log-L: 242.035459
152000 Log-L: 242.035459
153000 Log-L: 247.156341
154000 Log-L: 240.350884
155000 Log-L: 240.350884
156000 Log-L: 247.130845
157000 Log-L: 240.350884
158000 Log-L: 247.095609
159000 Log-L: 240.350884
160000 Log-L: 242.035459
161000 Log-L: 240.350884
162000 Log-L: 247.095609
163000 Log-L: 242.035459
164000 Log-L: 247.130845
165000 Log-L: 247.095609
166000 Log-L: 247.093717
167000 Log-L: 247.093717
168000 Log-L: 247.130845
169000 Log-L: 240.350884
170000 Log-L: 240.350884
171000 Log-L: 240.350884
172000 Log-L: 248.134391
173000 Log-L: 242.035459
174000 Log-L: 240.350884
175000 Log-L: 242.035459
176000 Log-L: 247.095609
177000 Log-L: 247.095609
178000 Log-L: 247.122934
179000 Log-L: 247.228362
180000 Log-L: 240.350884
181000 Log-L: 242.035459
182000 Log-L: 247.156341
183000 Log-L: 247.095609
184000 Log-L: 242.035459
185000 Log-L: 240.350884
186000 Log-L: 242.035459
