mptp 0.2.4_linux_x86_64, 4GB RAM, 2 cores
https://github.com/Pas-Kapli/mptp

Parsing tree file...
Loaded unrooted tree...
Converting to rooted tree...
Selected Funisciurus_lemniscatus_voucher_FMNH_222638_DRC_Bas_congo__ as outgroup based on longest tip-branch criterion

MCMC run 0...
Computing initial delimitation...
Null model log-likelihood: 202.007975
1000 Log-L: 266.095142
2000 Log-L: 271.645833
3000 Log-L: 266.095142
4000 Log-L: 269.664136
5000 Log-L: 263.722274
6000 Log-L: 266.095142
7000 Log-L: 266.095142
8000 Log-L: 271.645833
9000 Log-L: 264.036304
10000 Log-L: 269.405463
11000 Log-L: 266.095142
12000 Log-L: 264.036304
13000 Log-L: 264.036304
14000 Log-L: 269.439728
15000 Log-L: 271.645833
16000 Log-L: 266.095142
17000 Log-L: 264.036304
18000 Log-L: 263.722274
19000 Log-L: 266.095142
20000 Log-L: 263.722274
21000 Log-L: 269.664136
22000 Log-L: 266.095142
23000 Log-L: 264.036304
24000 Log-L: 266.095142
25000 Log-L: 271.645833
26000 Log-L: 263.722274
27000 Log-L: 266.095142
28000 Log-L: 264.036304
29000 Log-L: 269.664136
30000 Log-L: 261.500423
31000 Log-L: 264.036304
32000 Log-L: 269.405463
33000 Log-L: 263.722274
34000 Log-L: 263.722274
35000 Log-L: 269.664136
36000 Log-L: 269.405463
37000 Log-L: 271.645833
38000 Log-L: 269.405463
39000 Log-L: 269.439728
40000 Log-L: 266.095142
41000 Log-L: 270.404535
42000 Log-L: 269.426701
43000 Log-L: 270.404535
44000 Log-L: 269.405463
45000 Log-L: 271.645833
46000 Log-L: 269.381933
47000 Log-L: 263.722274
48000 Log-L: 271.645833
49000 Log-L: 264.036304
50000 Log-L: 271.645833
51000 Log-L: 263.722274
52000 Log-L: 269.439728
53000 Log-L: 264.036304
54000 Log-L: 266.095142
55000 Log-L: 269.405463
56000 Log-L: 270.404535
57000 Log-L: 269.405463
58000 Log-L: 263.722274
59000 Log-L: 270.404535
60000 Log-L: 269.664136
61000 Log-L: 266.095142
62000 Log-L: 263.722274
63000 Log-L: 269.405463
64000 Log-L: 271.645833
65000 Log-L: 263.722274
66000 Log-L: 264.036304
67000 Log-L: 266.095142
68000 Log-L: 263.722274
69000 Log-L: 263.722274
70000 Log-L: 269.381933
71000 Log-L: 263.722274
72000 Log-L: 263.722274
73000 Log-L: 271.645833
74000 Log-L: 271.645833
75000 Log-L: 270.404535
76000 Log-L: 269.664136
77000 Log-L: 269.664136
78000 Log-L: 264.036304
79000 Log-L: 269.664136
80000 Log-L: 269.405463
81000 Log-L: 266.095142
82000 Log-L: 263.722274
83000 Log-L: 263.722274
84000 Log-L: 269.405463
85000 Log-L: 264.036304
86000 Log-L: 263.722274
87000 Log-L: 264.036304
88000 Log-L: 264.036304
89000 Log-L: 263.722274
90000 Log-L: 269.439728
91000 Log-L: 266.095142
92000 Log-L: 271.645833
93000 Log-L: 271.645833
94000 Log-L: 263.722274
95000 Log-L: 271.645833
96000 Log-L: 262.466343
97000 Log-L: 264.036304
98000 Log-L: 269.439728
99000 Log-L: 271.645833
100000 Log-L: 270.404535
101000 Log-L: 264.036304
102000 Log-L: 264.036304
103000 Log-L: 271.645833
104000 Log-L: 271.645833
105000 Log-L: 264.036304
106000 Log-L: 269.405463
107000 Log-L: 266.095142
108000 Log-L: 269.426701
109000 Log-L: 266.095142
110000 Log-L: 264.036304
111000 Log-L: 263.722274
112000 Log-L: 270.404535
113000 Log-L: 263.722274
114000 Log-L: 263.722274
115000 Log-L: 270.404535
116000 Log-L: 264.036304
117000 Log-L: 263.722274
118000 Log-L: 263.722274
119000 Log-L: 266.095142
120000 Log-L: 263.722274
121000 Log-L: 266.095142
122000 Log-L: 269.381933
123000 Log-L: 264.036304
124000 Log-L: 263.722274
125000 Log-L: 263.722274
126000 Log-L: 271.645833
127000 Log-L: 264.036304
128000 Log-L: 271.645833
129000 Log-L: 266.095142
130000 Log-L: 269.439728
131000 Log-L: 269.664136
132000 Log-L: 269.439728
133000 Log-L: 271.645833
134000 Log-L: 264.036304
135000 Log-L: 263.722274
136000 Log-L: 264.036304
137000 Log-L: 266.095142
138000 Log-L: 263.722274
139000 Log-L: 271.645833
140000 Log-L: 266.095142
141000 Log-L: 270.404535
142000 Log-L: 266.095142
143000 Log-L: 266.095142
144000 Log-L: 266.095142
145000 Log-L: 270.404535
146000 Log-L: 269.381933
147000 Log-L: 269.664136
148000 Log-L: 269.405463
149000 Log-L: 264.036304
150000 Log-L: 266.095142
151000 Log-L: 264.036304
152000 Log-L: 271.645833
153000 Log-L: 263.722274
154000 Log-L: 266.095142
155000 Log-L: 271.645833
156000 Log-L: 270.404535
157000 Log-L: 269.405463
158000 Log-L: 269.505004
159000 Log-L: 270.404535
160000 Log-L: 264.036304
161000 Log-L: 266.095142
162000 Log-L: 269.405463
163000 Log-L: 266.095142
164000 Log-L: 270.404535
165000 Log-L: 271.645833
166000 Log-L: 269.381933
167000 Log-L: 269.405463
168000 Log-L: 269.664136
169000 Log-L: 270.404535
170000 Log-L: 271.645833
171000 Log-L: 271.645833
172000 Log-L: 266.095142
173000 Log-L: 263.722274
174000 Log-L: 271.645833
175000 Log-L: 266.095142
176000 Log-L: 264.036304
177000 Log-L: 269.664136
178000 Log-L: 264.036304
179000 Log-L: 270.404535
180000 Log-L: 270.404535
181000 Log-L: 264.036304
182000 Log-L: 263.722274
183000 Log-L: 269.405463
184000 Log-L: 268.180765
