Partition rank	NbSubset	Asap score	p-val	pval-rank	W	W rank	Treshold distance
1	5	3.50	6.120092e-02	3	0.000298	4	0.104712
2	7	3.50	2.794411e-01	6	0.000371	1	0.090854
3	11	5.00	1.061991e-03	1	0.000049	9	0.033741
4	4	5.50	8.931699e-02	4	0.000087	7	0.120355
5	10	7.00	1.940787e-03	2	0.000009	12	0.049405
6	13	8.50	4.570858e-01	7	0.000019	10	0.010617
7	6	8.50	8.243513e-01	15	0.000356	2	0.097058
8	12	9.50	8.403194e-01	16	0.000317	3	0.015861
9	2	11.00	8.443114e-01	17	0.000144	5	0.150640
10	16	11.50	4.890220e-01	8	0.000006	15	0.007916
11	9	12.00	7.744511e-01	13	0.000011	11	0.058576
12	3	12.50	8.722555e-01	19	0.000101	6	0.135980
13	56	14.00	2.475050e-01	5	0.000001	23	0.001308
14	46	14.50	7.065868e-01	11	0.000003	18	0.002626
15	24	15.00	4.890220e-01	9	0.000003	21	0.005261
16	19	15.50	7.584830e-01	12	0.000003	19	0.006620
17	8	15.50	9.540918e-01	23	0.000050	8	0.077554
18	25	16.00	6.766467e-01	10	0.000002	22	0.003963
19	21	17.00	8.003992e-01	14	0.000003	20	0.005324
20	28	17.50	8.682635e-01	18	0.000003	17	0.002657
21	15	17.50	9.321357e-01	21	0.000006	14	0.008000
22	14	17.50	9.481038e-01	22	0.000006	13	0.008054
23	26	18.00	9.301397e-01	20	0.000003	16	0.002682
24	215	24.00	1.000000e+00	24	0.000001	24	0.000000
